"file","line","symbol","note"
"src/clone/clone-store.ts","14","CloneSiteStore","Clone models describe creator content; callers must enforce scope."
"src/clone/clone-store.ts","36","FileCloneSiteStore","Filesystem path must be protected on multi-tenant hosts."
"src/clone/types.ts","43","CloneSiteModel","Includes public/member/tier-gated structure; callers must not leak paid-only paths to unauthorized viewers."
"src/creator/creator-identity-service.ts","44","CreatorIdentityView","Exposes patron-facing persona data; callers must scope by authorized account id."
"src/creator/creator-identity-service.ts","125","getCreatorIdentity","Caller must own `accountId`."
"src/creator/provision-creator-workspace.ts","43","provisionCreatorWorkspace","Binds multi-tenant rows; HTTP routes must ensure caller owns `accountId`."
"src/deploy/deploy-service.ts","15","DeployService","All entrypoints are creator-scoped; HTTP must verify operator authorization."
"src/deploy/deploy-store-db.ts","90","DbDeployStore","Deployment rows reference creator/site metadata; enforce API authz."
"src/deploy/deploy-store.ts","14","DeployStore","Stores deployment metadata per creator; enforce authz at API boundary."
"src/deploy/deploy-store.ts","55","FileDeployStore","Path must be restricted; records reference external URLs."
"src/deploy/types.ts","28","Deployment","Includes creator/site correlation; restrict listing to authorized operators."
"src/dev/pipeline-parity-routes.ts","15","traceIdFrom","Operators only; leaks account emails and studio mapping when enabled."
"src/events/event-bus-db.ts","22","DbEventBus","Writes tenant-scoped JSON payloads; upstream must validate authz before publish."
"src/events/event-bus.ts","27","RelayEventBus","`tenantId` partitions events; callers must align with authenticated tenant scope."
"src/export/export-service.ts","110","ExportService","Downloads and stores creator-owned media blobs; callers must enforce `creatorId` authorization on every route."
"src/gallery/backfill-patron-engagement-from-file.ts","23","backfillPatronEngagementFromFiles","Migration scripts must run in trusted contexts—IDs in files become authoritative rows."
"src/gallery/collections-store.ts","68","FileCollectionsStore","Collection ids + creator ids are caller-scoped; HTTP routes must verify creator ownership."
"src/gallery/gallery-service.ts","40","GalleryService","All entrypoints take caller-supplied `creatorId`; HTTP layer must authorize tenant/creator alignment before use."
"src/gallery/layout-store-db.ts","6","layoutJsonForDb","All methods trust caller-supplied `creatorId`—authorize before exposing mutators."
"src/gallery/layout-store.ts","57","FilePageLayoutStore","`creatorId` is caller-supplied partition key only—routes must authorize creator ownership before writes."
"src/gallery/layout-to-clone.ts","33","resolveLayoutPosts","Caller must ensure snapshot/overrides/collections align with authorized creator scope."
"src/gallery/overrides-store-db.ts","6","postVisibilityToEnum","Global `load`/`save` without tenant filter—admin/migration callers only unless RLS enforced at DB."
"src/gallery/overrides-store.ts","91","FileGalleryOverridesStore","Mutations trust caller-supplied `creatorId`; routes must enforce creator authorization."
"src/gallery/patron-collections-store-db.ts","68","DbPatronCollectionsStore","Account-wide listing requires trusted `accountId`; per-row ops must align membership ids with session."
"src/gallery/patron-collections-store.ts","38","FilePatronCollectionsStore","Caller-supplied `userId` must equal authenticated patron membership id."
"src/gallery/patron-collections-validate.ts","23","validatePatronCollectionEntry","Routes must ensure patron may write snips for this creator before trusting ids."
"src/gallery/patron-favorites-store-db.ts","53","DbPatronFavoritesStore","Cross-account listing (`listAllForAccount`) requires verified `accountId`; row ops must pair membership+creator correctly."
"src/gallery/patron-favorites-store.ts","34","FilePatronFavoritesStore","`userId`/`creatorId` must correspond to verified patron membership rows when mirrored to DB."
"src/gallery/patron-favorites-validate.ts","24","validatePatronFavoriteTarget","Caller must bind snapshot/creatorId to authorized patron context (membership ids validated upstream)."
"src/gallery/patron-media-access.ts","23","patronMayViewGalleryExport","No `tenant_id` parameter—callers must ensure `creatorId` and session binding match intended Relay tenant scope."
"src/gallery/patron-media-access.ts","53","redactGalleryItemExportIfLocked","Caller must enforce creator/session scope; tier map must correspond to same creator partition."
"src/gallery/patron-media-access.ts","81","findPostIdForExportedMedia","Caller supplies snapshot slice; ensure it matches authorized creator context."
"src/gallery/patron-media-access.ts","108","patronMayFetchMediaExport","`isContentOwner` must be set only after DB-verified account→creator binding; misuse leaks paid assets."
"src/gallery/post-permission.ts","38","evaluatePostPermission","`isContentOwner` must reflect verified DB binding; wrong flag exposes paid content."
"src/gallery/post-presentation-load.ts","18","loadPostPresentationOverlaysFromDb","Caller must ensure route authorized this `creatorId`; no separate `tenant_id` argument."
"src/gallery/post-presentation-mutate.ts","28","validateMediaIdsBelongToPost","Must only run after route proves session may mutate this creator/post pair."
"src/gallery/query.ts","32","effectiveTags","Overrides root must correspond to the same creator catalog as `base`."
"src/gallery/query.ts","123","resolveGalleryItemVisibility","Overrides must be scoped to authorized creator context."
"src/gallery/query.ts","214","buildGalleryItems","Caller must ensure all inputs describe the same authorized creator scope."
"src/gallery/query.ts","627","listGalleryItems","`params.creator_id` must match the catalog used to build `all`; mismatches leak cross-creator rows if lists are merged incorrectly upstream."
"src/gallery/saved-filters-store.ts","30","FileSavedFiltersStore","`creatorId` arguments must match authenticated creator context."
"src/gallery/tier-access.ts","35","postTierFloorCents","Caller must ensure `creatorId`/`postId` match an authorized creator scope; no `tenant_id` in signature—enforce at route layer."
"src/gallery/tier-access.ts","60","ceilingTierAmountCents","Caller must scope `creatorId` to the authenticated creator; no explicit tenant key on this helper."
"src/gallery/tier-access.ts","84","postFitsAccessCeiling","Route must bind `creatorId` to authorized context; helper does not validate tenancy."
"src/gallery/triage-service.ts","222","TriageService","`creatorId` must match authenticated creator; overrides mutate cross-post visibility."
"src/gallery/types.ts","104","GalleryListParams","`creator_id` is not a tenant guard—routes must authenticate creator scope separately."
"src/identity/creator-route-guard.ts","4","relayCreatorRouteSecretMatches","Strong env secret and TLS termination assumptions for header-based auth."
"src/identity/password.ts","4","hashPassword","Password hashing upgrades belong in a dedicated auth migration."
"src/identity/patreon-link-email-gate.ts","5","patreonLinkRequiresVerifiedEmail","Service role env is required only when enforcement is on."
"src/identity/session-cookie.ts","5","relayCookieSecure","Cookie flags and cross-subdomain `Domain=` behavior should match production threat model."
"src/identity/session-token-hash.ts","5","hashOpaqueSessionToken","Hash preimage is the raw token; ensure minting uses CSPRNG and adequate length."
"src/lib/crypto.ts","5","TokenEncryption","Cryptographic boundary; key rotation and ciphertext validation are operator concerns."
"src/lib/relay-extension-origins.ts","5","RELAY_EXTENSION_AUTH_API_PREFIX","Origin checks must precede any cookie or token responses to untrusted browsers."
"src/lib/supabase-admin.ts","7","getSupabaseAdminEnv","Service role key is full database access; restrict to trusted server paths only."
"src/lib/supabase-auth.ts","7","getSupabaseUrlAndAnonKey","Validates bearer tokens; downstream must map `user.id` to Relay `account_id` / `tenant_id`."
"src/lib/supabase-rls-context.ts","19","setSupabaseRlsContext","Must match authenticated session; calling code must not allow cross-tenant `accountId` injection."
"src/main.ts","111","(unspecified)","` scope)."
"src/main.ts","181","(unspecified)","Delivers user-targeted notifications; ensure recipient scoping matches `user_id` / tenant in store queries."
"src/main.ts","197","startHttpServer","Processes user deletion requests; verify each mutation keys off correct `user_id` / account rows."
"src/patreon/patreon-patron-oauth.ts","8","exchangePatreonPatronOAuth","Handles patron emails / names from Patreon identity — treat as PII at rest."
"src/patreon/patreon-resource-api.ts","109","membersPageUrl","Member payloads may include PII (`email`, `full_name`) — do not log raw documents."
"src/patreon/patreon-sync-service.ts","322","PatreonSyncService","Member sync paths process patron email/name from Patreon — flow through `IdentityService` only."
"src/patreon/patreon-sync-service.ts","805","(unspecified)","Processes patron email/name — must stay within `IdentityService` retention rules."
"src/patreon/patreon-user-identity.ts","8","PATREON_IDENTITY_URL","Identity documents include email and name when requested — do not log raw JSON."
"src/patreon/patreon-webhook-metadata-store.ts","7","WebhookRegistrationStatus","Encrypts/decrypts webhook secrets; never log plaintext secrets or tokens."
"src/patreon/patron-oauth-refresh.ts","6","refreshPatronOAuthTokensWithStoredRefreshToken","Operates on patron tokens and refresh material — never log token bodies."
"src/patron/account-block-service.ts","5","BlockEdge","Patron PII or entitlement paths — audit responses and logs."
"src/patron/account-deletion-service.ts","5","(unspecified)","Patron PII or entitlement paths — audit responses and logs."
"src/patron/account-deletion-worker.ts","5","DEFAULT_SWEEP_INTERVAL_MS","Patron PII or entitlement paths — audit responses and logs."
"src/patron/account-follow-service.ts","5","AccountFollowListItem","Patron PII or entitlement paths — audit responses and logs."
"src/patron/assemble-patron-feed.ts","5","PatronFeedFilter","Patron PII or entitlement paths — audit responses and logs."
"src/patron/comment-service.ts","5","(unspecified)","Patron PII or entitlement paths — audit responses and logs."
"src/patron/content-report-service.ts","5","REPORT_REASON_MAX","Patron PII or entitlement paths — audit responses and logs."
"src/patron/creator-relationship-delete-service.ts","5","CreatorRelationshipDeletionCounts","Patron PII or entitlement paths — audit responses and logs."
"src/patron/data-export-service.ts","5","PatronExportBundle","Patron PII or entitlement paths — audit responses and logs."
"src/patron/discover-service.ts","5","DEFAULT_CREATOR_CAP","Patron PII or entitlement paths — audit responses and logs."
"src/patron/load-patron-relay-feed-bundle.ts","5","loadPatronRelayFeedBundleFromRepo","Patron PII or entitlement paths — audit responses and logs."
"src/patron/moderation-action-log.ts","5","RecordModerationActionInput","Patron PII or entitlement paths — audit responses and logs."
"src/patron/notification-delivery-worker.ts","5","(unspecified)","Patron PII or entitlement paths — audit responses and logs."
"src/patron/notification-event-emit.ts","5","EmitArgs","Patron PII or entitlement paths — audit responses and logs."
"src/patron/notification-mapper.ts","5","PEG_EVENT_NAMES","Patron PII or entitlement paths — audit responses and logs."
"src/patron/notification-prefs-service.ts","5","PreferenceRecord","Patron PII or entitlement paths — audit responses and logs."
"src/patron/notification-service.ts","5","CLUSTER_WINDOW_MS","Patron PII or entitlement paths — audit responses and logs."
"src/patron/patron-entitlement-refresh.ts","5","resolvePatreonCampaignNumericId","Patron PII or entitlement paths — audit responses and logs."
"src/patron/patron-entitlement-stale-worker.ts","5","PatronEntitlementStaleCycleResult","Patron PII or entitlement paths — audit responses and logs."
"src/patron/patron-follow-service.ts","5","upsertPatronFollowsForMembership","Patron PII or entitlement paths — audit responses and logs."
"src/patron/patron-initial-follow-seed.ts","5","runPatronInitialFollowSeed","Patron PII or entitlement paths — audit responses and logs."
"src/patron/patron-profile-service.ts","5","PatronProfileView","Patron PII or entitlement paths — audit responses and logs."
"src/patron/public-patron-profile-service.ts","5","PublicPatronProfileView","Patron PII or entitlement paths — audit responses and logs."
"src/patron/viewer-entitlement.ts","5","ViewerEntitlementSourceTarget","Patron PII or entitlement paths — audit responses and logs."
"src/relay-server-env.ts","6","relayServerConfigFromEnv","Env contains live API secrets (`patreon_client_secret`, `stripe_secret_key`, `paypal_client_secret`, `relay_token_encryption_key`); never log return value."
"src/server.ts","8","(unspecified)","Numerous endpoints handle PII and entitlements; each must tie mutations to authenticated `user_id` and tenant/creator scope — verify in a dedicated security pass."
"src/server.ts","256","resolveVisitorPatronSessionForRedaction","Dev-only impersonation; must never be enabled in production configs."
"src/server.ts","812","bearerAccessTokenFromRequest","Token parsing; downstream must bind token to `user_id` / Supabase subject before data access."
"src/server.ts","1005","useDbPatronEngagementStore","Patron-owned data; RLS must scope by `user_id` / membership when on Supabase."
"src/server.ts","1125","findRelayLibraryStagingRows","Must only be called after creator auth proves `creatorId` ownership / `tenant_id`."
"src/server.ts","1207","deleteRelayStagedMediaForOrigins","Destructive; verify route always passes authenticated creator matching `creatorId`."
"src/storage/r2-config.ts","22","getR2ClientConfigFromEnv","Returns live access keys — never log or persist return value."
"src/storage/relay-upload-r2.ts","128","presignR2Put","URL grants write to object key — scope to one `mediaId` and short TTL."
